Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),Sunny
94029,2014,4,9,9.3,FALSE
94029,2014,4,10,7.1,FALSE
94029,2014,4,11,3.6,FALSE
94029,2014,4,12,5,FALSE
94029,2014,4,13,10.8,FALSE
94029,2014,4,14,7.3,FALSE
94029,2014,4,15,6.7,FALSE
94029,2014,4,16,11.5,FALSE
94029,2014,4,17,10.9,FALSE
94029,2014,4,18,4.2,FALSE
94029,2014,4,19,6.7,FALSE
94029,2014,4,20,7.3,FALSE
94029,2014,4,21,7.3,FALSE
94029,2014,4,22,8.2,FALSE
94029,2014,4,23,7.7,FALSE
94029,2014,4,24,9.7,FALSE
94029,2014,4,25,9.9,FALSE
94029,2014,4,26,5.4,FALSE
94029,2014,4,27,7,FALSE
94029,2014,4,28,9.3,FALSE
94029,2014,4,29,2.4,FALSE
94029,2014,4,30,8.8,FALSE
94029,2014,5,1,8.8,FALSE
94029,2014,5,2,4,FALSE
94029,2014,5,3,4.3,FALSE
94029,2014,5,4,3.3,FALSE
94029,2014,5,5,4.3,FALSE
94029,2014,5,6,6.4,FALSE
94029,2014,5,7,4.8,FALSE
94029,2014,5,8,8.8,FALSE
94029,2014,5,9,8.7,FALSE
94029,2014,5,10,2.7,FALSE
94029,2014,5,11,7.9,FALSE
94029,2014,5,12,8.4,FALSE
94029,2014,5,13,6.8,FALSE
94029,2014,5,14,4.3,FALSE
94029,2014,5,15,7.5,FALSE
94029,2014,5,16,5.6,FALSE
94029,2014,5,17,3.7,FALSE
94029,2014,5,18,4.9,FALSE
94029,2014,5,19,3.9,FALSE
94029,2014,5,20,6.4,FALSE
94029,2014,5,21,3.1,FALSE
94029,2014,5,22,3,FALSE
94029,2014,5,23,4.7,FALSE
94029,2014,5,24,5.5,FALSE
94029,2014,5,25,5.9,FALSE
94029,2014,5,26,3.1,FALSE
94029,2014,5,27,3.2,FALSE
94029,2014,5,28,3.8,FALSE
94029,2014,5,29,4.2,FALSE
94029,2014,5,30,5.9,FALSE
94029,2014,5,31,6.5,FALSE
94029,2014,6,1,3.4,FALSE
94029,2014,6,2,5.9,FALSE
94029,2014,6,3,2.7,FALSE
94029,2014,6,4,3.7,FALSE
94029,2014,6,5,5.5,FALSE
94029,2014,6,6,6,FALSE
94029,2014,6,7,4,FALSE
94029,2014,6,8,4,FALSE
94029,2014,6,9,6.1,FALSE
94029,2014,6,10,5.1,FALSE
94029,2014,6,11,5,FALSE
94029,2014,6,12,2.8,FALSE
94029,2014,6,13,4.7,FALSE
94029,2014,6,14,4,FALSE
94029,2014,6,15,4.3,FALSE
94029,2014,6,16,4,FALSE
94029,2014,6,17,5.7,FALSE
94029,2014,6,18,3.1,FALSE
94029,2014,6,19,4.3,FALSE
94029,2014,6,20,4.8,FALSE
94029,2014,6,21,5.7,FALSE
94029,2014,6,22,5.7,FALSE
94029,2014,6,23,2.1,FALSE
94029,2014,6,24,4.4,FALSE
94029,2014,6,25,4.4,FALSE
94029,2014,6,26,3.7,FALSE
94029,2014,6,27,5.3,FALSE
94029,2014,6,28,3,FALSE
94029,2014,6,29,3.9,FALSE
94029,2014,6,30,4.5,FALSE
94029,2014,7,1,2.9,FALSE
94029,2014,7,2,4.5,FALSE
94029,2014,7,3,5.6,FALSE
94029,2014,7,4,3.9,FALSE
94029,2014,7,5,2.5,FALSE
94029,2014,7,6,2.9,FALSE
94029,2014,7,7,3.7,FALSE
94029,2014,7,8,4.5,FALSE
94029,2014,7,9,4.6,FALSE
94029,2014,7,10,5.4,FALSE
94029,2014,7,11,5.6,FALSE
14015,2014,1,1,26.4,TRUE
14015,2014,1,2,25.3,TRUE
14015,2014,1,3,27,TRUE
14015,2014,1,4,25.6,TRUE
14015,2014,1,5,22.9,TRUE
14015,2014,1,6,26,TRUE
14015,2014,1,7,26.8,TRUE
14015,2014,1,8,26.8,TRUE
14015,2014,1,9,26.4,TRUE
14015,2014,1,10,19.1,TRUE
14015,2014,1,11,22.1,TRUE
14015,2014,1,12,19.4,TRUE
14015,2014,1,13,3.4,FALSE
14015,2014,1,14,2.3,FALSE
14015,2014,1,15,13.4,FALSE
14015,2014,1,16,11,FALSE
14015,2014,1,17,9.8,FALSE
14015,2014,1,18,2.6,FALSE
14015,2014,1,19,3.9,FALSE
14015,2014,1,20,17.7,TRUE
14015,2014,1,21,22.2,TRUE
14015,2014,1,22,20,TRUE
14015,2014,1,23,15,FALSE
14015,2014,1,24,3.9,FALSE
14015,2014,1,25,23.1,TRUE
14015,2014,1,26,13.8,FALSE
14015,2014,1,27,19.1,TRUE
14015,2014,1,28,16.8,TRUE
14015,2014,1,29,6,FALSE
14015,2014,1,30,8.5,FALSE
14015,2014,1,31,2.5,FALSE
14015,2014,2,1,14.5,FALSE
14015,2014,2,2,9.2,FALSE
14015,2014,2,3,15.2,TRUE
14015,2014,2,4,14.5,FALSE
14015,2014,2,5,9.5,FALSE
14015,2014,2,6,6.1,FALSE
14015,2014,2,7,21.2,TRUE
14015,2014,2,8,24.4,TRUE
14015,2014,2,9,20.4,TRUE
14015,2014,2,10,24.7,TRUE
14015,2014,2,11,21.2,TRUE
14015,2014,2,12,11,FALSE
14015,2014,2,13,24.8,TRUE
14015,2014,2,14,26,TRUE
14015,2014,2,15,24.4,TRUE
14015,2014,2,16,16.1,TRUE
14015,2014,2,17,2.6,FALSE
14015,2014,2,18,4,FALSE
14015,2014,2,19,17.5,TRUE
14015,2014,2,20,24,TRUE
14015,2014,2,21,26.9,TRUE
14015,2014,2,22,26.2,TRUE
14015,2014,2,23,24.5,TRUE
14015,2014,2,24,26.3,TRUE
14015,2014,2,25,26.3,TRUE
14015,2014,2,26,19,TRUE
14015,2014,2,27,18,TRUE
14015,2014,2,28,26.3,TRUE
14015,2014,3,1,25.5,TRUE
14015,2014,3,2,26.9,TRUE
14015,2014,3,3,25.2,TRUE
14015,2014,3,4,17.9,TRUE
14015,2014,3,5,21,TRUE
14015,2014,3,6,19.4,TRUE
14015,2014,3,7,23.9,TRUE
14015,2014,3,8,24.4,TRUE
14015,2014,3,9,16.1,TRUE
14015,2014,3,10,19.5,TRUE
14015,2014,3,11,15.8,TRUE
